City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Bam,IR,29.106,58.357,90.59,13,0,13.06,clear sky
258,Iranshahr,IR,27.2025,60.6848,107.94,7,0,11.5,clear sky
259,Fairbanks,US,64.8378,-147.7164,51.8,72,90,0.0,overcast clouds
260,Mareeba,AU,-17.0,145.4333,59.72,84,37,1.7,scattered clouds
261,Rawson,AR,-43.3002,-65.1023,56.88,56,93,17.18,overcast clouds
262,Mwinilunga,ZM,-11.7358,24.4293,73.49,36,1,3.94,clear sky
263,Druzhba,UA,52.0428,33.9453,69.31,79,42,7.14,moderate rain
264,Sebastian,US,35.1668,-94.2669,76.21,90,100,6.13,overcast clouds
265,Kalmunai,LK,7.4167,81.8167,83.32,68,37,4.83,scattered clouds
266,Nokaneng,BW,-19.6667,22.2667,78.42,17,0,4.03,clear sky
267,Fare,PF,-16.7,-151.0167,80.02,72,1,6.06,clear sky
268,Souillac,MU,-20.5167,57.5167,77.38,78,40,6.89,scattered clouds
269,Dingle,PH,10.9995,122.6711,79.92,83,35,4.32,light rain
270,Lorengau,PG,-2.0226,147.2712,77.67,87,100,5.73,overcast clouds
271,Mayumba,GA,-3.432,10.6554,80.24,78,100,8.57,overcast clouds
272,Beringovskiy,RU,63.05,179.3167,32.02,98,100,3.53,overcast clouds
273,Namatanai,PG,-3.6667,152.4333,79.86,82,100,10.11,overcast clouds
274,Otradnoye,RU,59.7775,30.8181,64.45,76,100,0.65,light rain
275,Puerto Carreno,CO,6.189,-67.4859,79.66,80,100,5.46,overcast clouds
276,Oranjestad,AW,12.524,-70.027,85.95,66,40,23.02,scattered clouds
277,Sharjah,AE,25.3573,55.4033,95.16,50,0,14.81,clear sky
278,La Palma,US,33.8464,-118.0467,66.81,75,90,1.99,overcast clouds
279,Ahuimanu,US,21.4447,-157.8378,74.91,76,20,6.42,few clouds
280,Taoudenni,ML,22.6783,-3.9836,108.93,11,82,5.59,broken clouds
281,Ostrovnoy,RU,68.0531,39.5131,47.12,39,100,16.08,overcast clouds
282,Sao Filipe,CV,14.8961,-24.4956,73.74,77,1,10.71,clear sky
283,Ayan,RU,56.45,138.1667,35.49,84,40,1.07,scattered clouds
284,Kendari,ID,-3.945,122.4989,76.8,88,14,1.41,few clouds
285,Ocampo,MX,21.65,-101.5,64.78,51,70,3.56,broken clouds
286,Tapes,BR,-30.6733,-51.3958,67.6,51,2,4.88,clear sky
287,Russell,US,32.3502,-85.1999,81.99,68,1,4.65,clear sky
288,Coihaique,CL,-45.5752,-72.0662,44.55,93,75,4.61,light rain
289,Meadow Lake,US,34.8014,-106.5436,74.21,27,40,3.56,scattered clouds
290,San Vicente De Canete,PE,-13.0751,-76.3835,68.52,80,36,5.57,scattered clouds
291,Am Timan,TD,11.0297,20.2827,94.33,30,33,6.08,scattered clouds
292,Pires Do Rio,BR,-17.2997,-48.2794,87.57,36,36,4.32,scattered clouds
293,Verkhniy Avzyan,RU,53.5289,57.5372,66.29,49,1,5.41,clear sky
294,Sechura,PE,-5.5569,-80.8222,73.74,74,24,9.08,few clouds
295,Omsukchan,RU,62.5333,155.8,32.2,79,93,7.05,overcast clouds
296,Campos Gerais,BR,-21.235,-45.7586,78.71,45,47,5.35,scattered clouds
297,Yenagoa,NG,4.9247,6.2642,82.63,79,99,4.36,overcast clouds
298,Cherskiy,RU,68.75,161.3,51.58,44,3,9.55,clear sky
299,Eureka,US,40.8021,-124.1637,48.81,55,100,2.8,overcast clouds
300,Halifax,CA,44.6453,-63.5724,67.41,93,90,3.0,overcast clouds
301,Abu Zabad,SD,12.35,29.25,102.04,8,100,7.58,overcast clouds
302,El Tigre,VE,8.8875,-64.2454,83.01,59,90,11.59,overcast clouds
303,Mrkonjic Grad,BA,44.4158,17.0861,69.96,79,67,4.27,broken clouds
304,Isangel,VU,-19.55,169.2667,69.06,69,41,4.14,scattered clouds
